article_id,label,confidence
,NEG,0.8639175415039062
,NEU,0.9388031363487244
,POS,0.8309059192736944
,NEG,0.8827252984046936
,POS,0.807947175843375
,POS,0.7718693812688192
,POS,0.6593685746192932
,NEG,0.8672876954078674
,NEU,0.8991592526435852
,NEU,0.8708014726638794
,POS,0.8345402975877126
,NEG,0.8998824059963226
,NEG,0.919860377907753
,NEG,0.8917339018412999
,NEG,0.6651249527931213
,POS,0.897722704069955
,NEG,0.8232065796852112
,POS,0.7710628867149353
,NEU,0.9685968399047852
,POS,0.8657521605491638
,POS,0.8828961849212646
,NEG,0.9274990856647491
,NEU,0.9757546782493591
,POS,0.8620120108127594
,POS,0.874147097269694
,NEU,0.954155683517456
,NEU,0.8849538266658783
,NEU,0.8667847050560845
,POS,0.8041319251060486
,POS,0.9055755734443665
,POS,0.7740769514015743
,POS,0.7683102190494537
,POS,0.7428293943405151
,POS,0.8863251209259033
,POS,0.9212605208158493
,POS,0.8509454987943172
,NEG,0.8514761447906494
,POS,0.845175564289093
,NEG,0.8912787735462189
,NEU,0.9129936269351414
,NEG,0.8526726886630058
,POS,0.8421459992726644
,POS,0.8090026676654816
,NEU,0.8192373365163803
,POS,0.8401024142901102
,POS,0.8310258587201437
,NEG,0.7866462826728821
,NEU,0.890466958284378
,NEG,0.8835982084274292
,POS,0.9146985054016114
,POS,0.810772630903456
,NEG,0.9081559419631958
,NEG,0.8586257489827963
,POS,0.7771742244561514
,NEU,0.9584060162305832
,NEU,0.966112494468689
,POS,0.9080720543861389
,POS,0.8173405304551125
,NEG,0.8365525230765343
,POS,0.7646858274936676
,NEU,0.8539150740419116
,POS,0.8187475387866681
,NEU,0.63616215189298
,NEU,0.9658767431974411
,POS,0.9073318297212775
,NEU,0.9104798913002015
,NEU,0.950365686416626
,NEU,0.8000770747661591
,POS,0.8069511651992798
,NEG,0.9077076315879822
,POS,0.885901549283196
,POS,0.8001509308815002
,POS,0.8628976047039032
,NEU,0.963098868727684
,POS,0.7938460111618042
,NEG,0.8946635961532593
,POS,0.8012660294771194
,NEU,0.9096207618713379
,NEU,0.9697906821966171
,NEU,0.9154346414974758
,NEG,0.9490314722061157
,POS,0.898681715130806
,POS,0.8874114047397267
,NEG,0.8412572324275971
,NEG,0.7513595819473267
,POS,0.8774274289608002
,POS,0.8659861792217601
,POS,0.7357619106769562
,POS,0.7701363762219747
,NEG,0.8151393532752991
,NEG,0.8636707862218221
,POS,0.841903805732727
,POS,0.889012893040975
,POS,0.889012893040975
,POS,0.872098296880722
,NEG,0.9095063209533691
,POS,0.8277294337749481
,POS,0.8347192645072937
,POS,0.6718676835298538
,POS,0.8323293387889862
,POS,0.8332206606864929
,POS,0.8032402396202087
,POS,0.809678740799427
,POS,0.8091516892115275
,POS,0.8282504856586457
,POS,0.8021869242191315
,POS,0.7900178854664167
,POS,0.8202345669269562
,POS,0.8913703759511312
,POS,0.9312696665525436
,NEU,0.9615110754966736
,POS,0.8205751553177834
,POS,0.8598327381270272
,POS,0.7952077190081278
,POS,0.8927083909511566
,POS,0.887489484416114
,POS,0.9049961666266123
,NEU,0.9729079604148865
,POS,0.7923219949007034
,NEU,0.8890868922074636
,POS,0.8735434412956238
,NEG,0.8708398384707314
,NEG,0.8726011331264789
,POS,0.809770405292511
,NEU,0.8376806378364563
,POS,0.8810681998729706
,NEG,0.9193716272711754
,POS,0.8374624306505377
,POS,0.8911656737327576
,NEU,0.8513392806053162
,POS,0.818164050579071
,POS,0.8969796129635402
,POS,0.7268351515134176
,NEG,0.7428685824076334
,NEU,0.9538080096244812
,NEG,0.9535703659057617
,POS,0.8113142251968384
,POS,0.7846615612506866
,POS,0.8568314824785505
,POS,0.8296324060513423
,POS,0.7759931981563568
,POS,0.8789445658524832
,NEU,0.9606352597475052
,POS,0.8542308343781365
,NEU,0.9222632731710162
,POS,0.8577937632799149
,NEU,0.9454956650733948
,POS,0.8194114409509252
,POS,0.8839610164815729
,NEG,0.8609751984477043
,NEG,0.5491126775741577
,NEG,0.9111211044447762
,POS,0.8347742334008217
,NEU,0.9058123363388909
,POS,0.8059639930725098
,POS,0.8732561568419138
,POS,0.8642327636480331
,NEG,0.8679322401682535
,POS,0.851904089252154
,NEU,0.9176931157708168
,POS,0.7900989850362142
,POS,0.8129843870798746
,POS,0.9111480315526327
,NEG,0.8715814597466413
,NEG,0.9198985000451406
,POS,0.8683609813451767
,POS,0.858179916938146
,NEG,0.8624733493608587
,NEG,0.8274213075637817
,NEG,0.9019405586378915
,POS,0.8395606852494754
,POS,0.8622057636578878
,POS,0.7391346182141986
,POS,0.8521291688084602
,POS,0.8556022729192462
,NEG,0.8935288786888123
,NEG,0.8906734138727188
,POS,0.876404345035553
,POS,0.870706958430154
,NEG,0.920430964893765
,POS,0.7839923024177551
,POS,0.7883569896221161
,NEG,0.8358061824526105
,NEG,0.8383871436119079
,POS,0.7873273491859436
,NEU,0.8547861675421397
,NEU,0.7492081522941589
,POS,0.8981383840243021
,POS,0.8455866813659668
,NEU,0.8900306895375252
,POS,0.8521666427453359
,POS,0.8219461596530416
,NEG,0.9235777173723493
,POS,0.8792630036671957
,NEG,0.8737337648868561
,NEG,0.8028722206751505
,NEG,0.9236645221710205
,POS,0.7138164043426514
,POS,0.8090683354271783
,NEU,0.8975823606763568
,NEU,0.9096837222576142
,NEU,0.9628216624259949
,NEG,0.8640077233314514
,NEG,0.7522390059062413
,NEG,0.8542333160127912
,NEG,0.8851612130800883
,POS,0.8942250370979309
,NEG,0.8314368774493536
,POS,0.929079092067221
,NEG,0.8594478368759155
,POS,0.9082058489322662
,NEG,0.7639563764844622
,NEG,0.8776239976286888
,POS,0.9140328367551168
,POS,0.8856555819511414
,POS,0.895765999952952
,NEG,0.7853768467903137
,NEU,0.9700472056865692
,POS,0.9028211997614967
,POS,0.8038225822396331
,NEG,0.4754522144794464
,NEG,0.8364472389221191
,NEU,0.9260762333869934
,POS,0.8468288940096659
,POS,0.784803494811058
,NEG,0.8758943406018344
,NEU,0.8583038151264191
,POS,0.8790463507175446
,NEG,0.8152819991111755
,POS,0.8467042391950433
,POS,0.9085227400064468
,NEG,0.8073852136731148
,POS,0.8851080536842346
,NEG,0.8885706782341003
,POS,0.7985508101327079
,POS,0.8799433410167694
,NEG,0.8227034211158752
,POS,0.8813409294400897
,POS,0.9300715923309326
,NEG,0.9111854434013367
,POS,0.8744454468999591
,NEG,0.9351955771446228
,NEG,0.8901611566543579
,POS,0.8332206606864929
,NEG,0.8369705080986023
,NEG,0.8694537952542305
,NEG,0.9053409695625305
,POS,0.8067602587468696
,POS,0.813832265990121
,POS,0.8473251064618429
,POS,0.8057889427457537
,NEG,0.9191822508970896
,NEG,0.8220197591516707
,NEG,0.915707508722941
,POS,0.8793336629867554
,POS,0.836707319532122
,POS,0.8426238199075063
,POS,0.9142077565193176
,NEG,0.9431531429290771
,POS,0.8711964704773643
,NEG,0.7996507883071899
,NEG,0.8831522539258003
,POS,0.8912779927253723
,POS,0.7884505476270404
,POS,0.893784122807639
,POS,0.9214820663134257
,POS,0.858681012283672
,POS,0.8351568579673767
,NEG,0.7580068653280084
,POS,0.8775109989302499
,POS,0.906606403986613
,POS,0.7916230814797538
,NEG,0.9272413849830627
,POS,0.8634448349475861
,POS,0.8031848987989259
,POS,0.9039366364479064
,NEG,0.933404803276062
,POS,0.7937331438064575
,POS,0.8950088520844778
,POS,0.8404042720794678
,POS,0.8857933729887009
,NEU,0.9477876424789429
,POS,0.8877635683332171
,NEG,0.9219752504275396
,NEG,0.888684997955958
,NEG,0.8949837565422059
,NEU,0.9632253249486288
,NEG,0.7990429401397705
,NEU,0.9715003569920858
,NEG,0.8465919867157936
,POS,0.8700202107429504
,POS,0.8025025682789939
,POS,0.8620828901018415
,POS,0.8521118674959455
,POS,0.8823968172073364
,POS,0.7646247744560242
,POS,0.8366645336151123
,POS,0.9161933859189352
,NEG,0.866380512714386
,POS,0.7837132314840952
,POS,0.8396817669272423
,POS,0.7461038529872894
,POS,0.8496759704181126
,POS,0.8994691073894501
,NEG,0.7607233226299286
,NEU,0.9274860620498657
,NEU,0.7787483334541321
,NEG,0.819508621096611
,NEG,0.7757871406418937
,POS,0.808799147605896
,NEG,0.8173537775874138
,POS,0.8670146465301514
,POS,0.8590868711471558
,POS,0.9066570699214935
,POS,0.8769286672274271
,POS,0.8933031916618347
,POS,0.839150301434777
,NEG,0.7830695708592733
,POS,0.8758937035288129
,POS,0.831998348236084
,NEG,0.8893185172762189
